"Loop number","Actual portfolio","Value_avg","Value_min","Value_max"
"loop1",1.007806,1.004555,0.976296,1.031067
"loop2",1.013116,1.009925,0.981048,1.044520
"loop3",0.921975,1.014478,0.988847,1.036817
"loop4",0.975040,0.922424,0.850563,0.943104
"loop5",0.981133,0.974389,0.934140,0.996223
"loop6",0.982571,0.985206,0.898521,1.047799
"loop7",0.987938,0.982663,0.915390,1.013580
"loop8",0.988573,0.988069,0.951163,1.008464
"loop9",0.999005,0.991601,0.935666,1.013856
"loop10",0.999567,0.999883,0.967595,1.038544
"loop11",0.995748,1.001589,0.960319,1.049180
"loop12",0.999393,0.997087,0.980277,1.009311
"loop13",1.000323,1.000697,0.981652,1.019381
"loop14",1.000251,1.000090,0.956343,1.021085
"loop15",0.986290,1.001781,0.930476,1.072337
"loop16",0.975922,0.987965,0.882712,1.039666
"loop17",0.978412,0.977934,0.931361,1.016948
"loop18",0.985448,0.980824,0.886801,1.026747
"loop19",0.987408,0.986370,0.951807,1.014822
"loop20",0.990742,0.985663,0.920525,1.008971
"loop21",1.001677,0.991764,0.916836,1.055853
"loop22",0.998340,1.002735,0.921410,1.054027
"loop23",0.976863,0.998139,0.965432,1.026541
"loop24",0.971138,0.977324,0.857046,1.019134
"loop25",0.967046,0.972272,0.950019,0.987479
"loop26",0.975578,0.966904,0.930224,1.005509
"loop27",0.955668,0.978191,0.923540,1.017298
"loop28",0.928098,0.958626,0.905928,1.005800
"loop29",0.927758,0.927411,0.908061,0.940703
"loop30",0.932295,0.926575,0.888701,0.967556
"loop31",0.910967,0.932231,0.914220,0.961380
"loop32",0.902264,0.910432,0.840718,0.938335
"loop33",0.896116,0.901235,0.885716,0.914879
"loop34",0.906512,0.896361,0.844771,0.928017
"loop35",0.904262,0.904897,0.902351,0.906475
"loop36",0.879436,0.903988,0.882077,0.920616
"loop37",0.884075,0.879078,0.860293,0.900330
"loop38",0.891938,0.882512,0.865204,0.896524
"loop39",0.891742,0.890937,0.852106,0.915060
"loop40",0.903318,0.892741,0.867102,0.915745
"loop41",0.897083,0.902473,0.879490,0.926092
"loop42",0.896448,0.896069,0.859671,0.934701
"loop43",0.895640,0.896381,0.886745,0.911891
"loop44",0.897662,0.894584,0.878639,0.905088
"loop45",0.894030,0.896514,0.866859,0.922823
"loop46",0.887310,0.894875,0.837364,0.930340
"loop47",0.885678,0.886986,0.874648,0.898384
"loop48",0.883357,0.884048,0.877536,0.889781
"loop49",0.847511,0.883173,0.809128,0.940215
"loop50",0.822520,0.850089,0.785971,0.892984
"loop51",0.820950,0.821416,0.804050,0.838906
"loop52",0.825815,0.821808,0.806907,0.836198
"loop53",0.818823,0.825014,0.787832,0.868034
"loop54",0.842913,0.823014,0.785079,0.857346
"loop55",0.841946,0.842233,0.827384,0.854209
"loop56",0.843391,0.841868,0.774994,0.885251
"loop57",0.842028,0.841933,0.838520,0.845140
"loop58",0.840607,0.840738,0.834571,0.845955
"loop59",0.832719,0.841872,0.785792,0.880114
"loop60",0.836611,0.833257,0.789816,0.858999
"loop61",0.837357,0.835784,0.805395,0.857704
"loop62",0.847227,0.838890,0.792988,0.897666
"loop63",0.854384,0.850198,0.793750,0.899977
"loop64",0.852194,0.853660,0.821925,0.867068
"loop65",0.849023,0.852295,0.820231,0.892098
"loop66",0.846432,0.850230,0.816920,0.872300
"loop67",0.849646,0.846505,0.803365,0.872305
"loop68",0.835980,0.849861,0.810140,0.878399
"loop69",0.793382,0.836148,0.760035,0.897653
"loop70",0.793473,0.791919,0.789171,0.795621
"loop71",0.797856,0.790983,0.760552,0.810485
"loop72",0.792061,0.795985,0.768475,0.825815
"loop73",0.799233,0.793570,0.752463,0.828204
